symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields,stage1_step4_implied_volatility,stage1_step4_min_implied_volatility,stage1_step4_verdict,stage1_step4_fail_reason
ACMR,"ACM Research, Inc.",NASDAQ,Technology,Industrial Machinery/Components,71.59,71.59,1832728.0,4857594361.0,70.0,https://api.nasdaq.com/api/quote/ACMR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACMR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ACMR/overview,TRUE,0,,88.41,60.57,89.0,71.68,103.82,49.39,,,88.41,75.0,PASS,
ADPT,Adaptive Biotechnologies Corp,NASDAQ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),13.87,13.87,1235047.0,2221416161.0,20.0,https://api.nasdaq.com/api/quote/ADPT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ADPT/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ADPT/overview,TRUE,0,,110.99,54.44,58.0,26.1,260.99,58.02,,,110.99,75.0,PASS,
AEVA,"Aeva Technologies, Inc.",NASDAQ,Consumer Discretionary,Auto Parts:O.E.M.,21.49,21.49,3887434.0,1596193588.0,24.0,https://api.nasdaq.com/api/quote/AEVA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AEVA/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AEVA/overview,TRUE,0,,113.92,119.45,44.0,39.58,143.51,94.54,,,113.92,75.0,PASS,
AIP,"Arteris, Inc.",NASDAQ,Technology,Semiconductors,35.9,35.9,1173775.0,1675119507.0,38.0,https://api.nasdaq.com/api/quote/AIP/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AIP/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AIP/overview,TRUE,0,,90.19,63.96,70.0,27.23,167.06,61.43,,,90.19,75.0,PASS,
ALM,Almonty Industries Inc.,NASDAQ,Basic Materials,Other Metals and Minerals,18.79,18.79,2871988.0,5294622902.0,23.0,https://api.nasdaq.com/api/quote/ALM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALM/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ALM/overview,TRUE,0,,90.53,93.79,1.0,2.92,147.32,88.82,,,90.53,75.0,PASS,
AMKR,"AMKOR TECHNOLOGY, INC.",NASDAQ,Technology,Semiconductors,65.9,65.9,5895258.0,16297618059.0,70.0,https://api.nasdaq.com/api/quote/AMKR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AMKR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AMKR/overview,TRUE,0,,78.32,62.48,79.0,58.2,108.35,36.51,,,78.32,75.0,PASS,
APLD,Applied Digital Corp.,NASDAQ,Finance,Finance: Consumer Services,48.02,48.02,22215241.0,13108248754.0,46.0,https://api.nasdaq.com/api/quote/APLD/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/APLD/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/APLD/overview,TRUE,0,,99.47,108.68,20.0,31.87,142.73,79.23,,,99.47,75.0,PASS,
ASST,"Strive, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,18.53,18.53,7804389.0,1330834711.0,26.0,https://api.nasdaq.com/api/quote/ASST/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ASST/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ASST/overview,TRUE,0,,101.64,84.55,3.0,2.1,405.79,95.12,,,101.64,75.0,PASS,
BEAM,Beam Therapeutics Inc.,NASDAQ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),27.67,27.67,1327563.0,2946460689.0,46.0,https://api.nasdaq.com/api/quote/BEAM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BEAM/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/BEAM/overview,TRUE,0,,77.8,74.31,39.0,36.19,122.94,52.2,,,77.8,75.0,PASS,
BRUN,Boost Run Inc.,NASDAQ,Technology,EDP Services,25.52,25.52,1090788.0,1940200992.0,,https://api.nasdaq.com/api/quote/BRUN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BRUN/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/BRUN/overview,TRUE,2,,178.69,,60.0,63.4,192.05,155.53,,barchart_historical_volatility,178.69,75.0,PASS,
