symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields
AAUC,Allied Gold Corp,NYSE,N/A,N/A,26.55,26.55,2847868.0,3439588000.0,32.12,https://api.nasdaq.com/api/quote/AAUC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AAUC/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AAUC/overview,TRUE,2,,,,,,,,,"barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank"
AVEX,AEVEX Corp.,NYSE,Industrials,Aerospace,26.72,26.72,1092484.0,3058598394.0,34.0,https://api.nasdaq.com/api/quote/AVEX/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AVEX/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AVEX/overview,TRUE,2,,104.31,,9.0,2.89,126.91,103.64,,barchart_historical_volatility
AXIA,AXIA Energia S.A.,NYSE,Utilities,Electric Utilities: Central,10.95,10.95,1565356.0,30492666840.0,13.55,https://api.nasdaq.com/api/quote/AXIA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AXIA/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AXIA/overview,TRUE,2,,,,,,,,,"barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank"
BMNR,"BITMINE IMMERSION TECHNOLOGIES, INC.",NYSE,Finance,Finance: Consumer Services,19.61,19.61,24657548.0,10753610343.0,36.0,https://api.nasdaq.com/api/quote/BMNR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BMNR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/BMNR/overview,TRUE,2,,69.57,60.46,0.0,0.0,163.21,69.57,,"barchart_iv_percentile,barchart_iv_rank"
BW,"Babcock & Wilcox Enterprises, Inc.",NYSE,Industrials,Building Products,20.54,20.54,3254261.0,2593486019.0,23.0,https://api.nasdaq.com/api/quote/BW/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BW/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/BW/overview,TRUE,2,,101.49,112.31,0.0,0.0,334.96,101.49,,"barchart_iv_percentile,barchart_iv_rank"
GMRS,GMR Solutions Inc.,NYSE,Consumer Discretionary,Transportation Services,11.25,11.25,1027368.0,2456826846.0,,https://api.nasdaq.com/api/quote/GMRS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/GMRS/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/GMRS/overview,TRUE,2,,,,,,,,,"barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank"
MAIR,Madison Air Solutions Corp,NYSE,Industrials,Pollution Control Equipment,38.77,38.77,1145537.0,20070769599.0,49.0,https://api.nasdaq.com/api/quote/MAIR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/MAIR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/MAIR/overview,TRUE,2,,48.99,,17.0,17.92,60.96,46.38,,barchart_historical_volatility
MDA,MDA Space Ltd.,NYSE,Consumer Discretionary,Electronic Components,41.19,41.19,1024997.0,5977606518.0,41.0,https://api.nasdaq.com/api/quote/MDA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/MDA/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/MDA/overview,TRUE,2,,,,,,,,,"barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank"
OTF,Blue Owl Technology Finance Corp.,NYSE,N/A,N/A,10.75,10.75,1996694.0,4917886629.0,14.0,https://api.nasdaq.com/api/quote/OTF/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/OTF/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/OTF/overview,TRUE,2,,,,,,,,,"barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank"
PDI,PIMCO Dynamic Income Fund,NYSE,Finance,"Trusts, Except Educational, Religious, and Charitable",16.69,16.69,1893096.0,4037724900.0,,https://api.nasdaq.com/api/quote/PDI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/PDI/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/PDI/overview,TRUE,2,,,,,,,,,"barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank"
TLK,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,NYSE,Telecommunications,Telecommunications Equipment,17.16,17.16,1266348.0,16196672414.0,24.09,https://api.nasdaq.com/api/quote/TLK/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/TLK/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/TLK/overview,TRUE,2,,,,,,,,,"barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank"
BRUN,Boost Run Inc.,NASDAQ,Technology,EDP Services,25.52,25.52,1090788.0,1940200992.0,,https://api.nasdaq.com/api/quote/BRUN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BRUN/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/BRUN/overview,TRUE,2,,178.69,,60.0,63.4,192.05,155.53,,barchart_historical_volatility
