symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path
AAL,American Airlines Group Inc.,NASDAQ,Consumer Discretionary,Air Freight/Delivery Services,13.59,13.59,99284855.0,9160184147.0,15.0,https://api.nasdaq.com/api/quote/AAL/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AAL/nasdaq_summary.json
ACAD,ACADIA PHARMACEUTICALS INC,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,21.32,21.32,1377022.0,3613076857.0,32.0,https://api.nasdaq.com/api/quote/ACAD/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACAD/nasdaq_summary.json
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Health Care,Medical Specialities,23.02,23.02,2551889.0,2131795686.0,30.0,https://api.nasdaq.com/api/quote/ACHC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACHC/nasdaq_summary.json
ACMR,"ACM Research, Inc.",NASDAQ,Technology,Industrial Machinery/Components,71.59,71.59,1832728.0,4857594361.0,70.0,https://api.nasdaq.com/api/quote/ACMR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACMR/nasdaq_summary.json
ADEA,Adeia Inc.,NASDAQ,Technology,Computer Software: Prepackaged Software,26.36,26.36,1179220.0,2962490098.0,37.5,https://api.nasdaq.com/api/quote/ADEA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ADEA/nasdaq_summary.json
ADPT,Adaptive Biotechnologies Corp,NASDAQ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),13.87,13.87,1235047.0,2221416161.0,20.0,https://api.nasdaq.com/api/quote/ADPT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ADPT/nasdaq_summary.json
ADTN,"ADTRAN Holdings, Inc.",NASDAQ,Utilities,Telecommunications Equipment,14.83,14.83,2910537.0,1269240227.0,19.0,https://api.nasdaq.com/api/quote/ADTN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ADTN/nasdaq_summary.json
AEVA,"Aeva Technologies, Inc.",NASDAQ,Consumer Discretionary,Auto Parts:O.E.M.,21.49,21.49,3887434.0,1596193588.0,24.0,https://api.nasdaq.com/api/quote/AEVA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AEVA/nasdaq_summary.json
AFRM,"Affirm Holdings, Inc.",NASDAQ,Finance,Finance: Consumer Services,67.18,67.18,5549360.0,21842084409.0,85.0,https://api.nasdaq.com/api/quote/AFRM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AFRM/nasdaq_summary.json
AGNC,AGNC Investment Corp.,NASDAQ,Real Estate,Real Estate Investment Trusts,10.26,10.26,11691266.0,11720357867.0,11.0,https://api.nasdaq.com/api/quote/AGNC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AGNC/nasdaq_summary.json
AIP,"Arteris, Inc.",NASDAQ,Technology,Semiconductors,35.9,35.9,1173775.0,1675119507.0,38.0,https://api.nasdaq.com/api/quote/AIP/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AIP/nasdaq_summary.json
ALGM,"ALLEGRO MICROSYSTEMS, INC.",NASDAQ,Technology,Semiconductors,44.7,44.7,1944065.0,8514115477.0,54.5,https://api.nasdaq.com/api/quote/ALGM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALGM/nasdaq_summary.json
ALHC,"Alignment Healthcare, Inc.",NASDAQ,Health Care,Medical Specialities,16.37,16.37,2803657.0,3380098006.0,25.0,https://api.nasdaq.com/api/quote/ALHC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALHC/nasdaq_summary.json
ALM,Almonty Industries Inc.,NASDAQ,Basic Materials,Other Metals and Minerals,18.79,18.79,2871988.0,5294622902.0,23.0,https://api.nasdaq.com/api/quote/ALM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALM/nasdaq_summary.json
AMKR,"AMKOR TECHNOLOGY, INC.",NASDAQ,Technology,Semiconductors,65.9,65.9,5895258.0,16297618059.0,70.0,https://api.nasdaq.com/api/quote/AMKR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AMKR/nasdaq_summary.json
APA,APA Corp,NASDAQ,Energy,Oil & Gas Production,38.34,38.34,3883331.0,13714644808.0,41.0,https://api.nasdaq.com/api/quote/APA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/APA/nasdaq_summary.json
APLD,Applied Digital Corp.,NASDAQ,Finance,Finance: Consumer Services,48.02,48.02,22215241.0,13108248754.0,46.0,https://api.nasdaq.com/api/quote/APLD/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/APLD/nasdaq_summary.json
ARCC,ARES CAPITAL CORP,NASDAQ,Finance,Finance: Consumer Services,18.74,18.74,4525064.0,13348044689.0,21.0,https://api.nasdaq.com/api/quote/ARCC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ARCC/nasdaq_summary.json
ARQT,"Arcutis Biotherapeutics, Inc.",NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,21.01,21.01,1163067.0,2609239182.0,35.0,https://api.nasdaq.com/api/quote/ARQT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ARQT/nasdaq_summary.json
ASO,"Academy Sports & Outdoors, Inc.",NASDAQ,Consumer Discretionary,Other Specialty Stores,51.03,51.03,1069993.0,3387967198.0,62.5,https://api.nasdaq.com/api/quote/ASO/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ASO/nasdaq_summary.json
ASST,"Strive, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,18.53,18.53,7804389.0,1330834711.0,26.0,https://api.nasdaq.com/api/quote/ASST/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ASST/nasdaq_summary.json
ATAT,Atour Lifestyle Holdings Ltd,NASDAQ,Consumer Discretionary,Hotels/Resorts,35.79,35.79,2317668.0,4603701753.0,50.0,https://api.nasdaq.com/api/quote/ATAT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ATAT/nasdaq_summary.json
