symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path
AA,Alcoa Corp,NYSE,Industrials,Aluminum,66.27,66.27,6952379.0,18836459278.0,75.0,https://api.nasdaq.com/api/quote/AA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AA/nasdaq_summary.json
AAP,ADVANCE AUTO PARTS INC,NYSE,Consumer Discretionary,Auto & Home Supply Stores,58.62,58.62,3468940.0,3496077604.0,58.5,https://api.nasdaq.com/api/quote/AAP/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AAP/nasdaq_summary.json
AAUC,Allied Gold Corp,NYSE,N/A,N/A,26.55,26.55,2847868.0,3439588000.0,32.12,https://api.nasdaq.com/api/quote/AAUC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AAUC/nasdaq_summary.json
ACI,"Albertsons Companies, Inc.",NYSE,Consumer Staples,Food Chains,16.27,16.27,6498357.0,8016409789.0,21.5,https://api.nasdaq.com/api/quote/ACI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACI/nasdaq_summary.json
ACM,AECOM,NYSE,Consumer Discretionary,Military/Government/Technical,70.18,70.18,1944453.0,9258791157.0,99.5,https://api.nasdaq.com/api/quote/ACM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACM/nasdaq_summary.json
AEO,AMERICAN EAGLE OUTFITTERS INC,NYSE,Consumer Discretionary,Clothing/Shoe/Accessory Stores,16.55,16.55,3580139.0,2769182729.0,22.0,https://api.nasdaq.com/api/quote/AEO/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AEO/nasdaq_summary.json
AES,AES CORP,NYSE,Utilities,Electric Utilities: Central,14.69,14.69,8783877.0,10469155227.0,15.0,https://api.nasdaq.com/api/quote/AES/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AES/nasdaq_summary.json
AESI,Atlas Energy Solutions Inc.,NYSE,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),19.47,19.47,2077856.0,2381949487.0,20.0,https://api.nasdaq.com/api/quote/AESI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AESI/nasdaq_summary.json
AG,FIRST MAJESTIC SILVER CORP,NYSE,Basic Materials,Precious Metals,19.9,19.9,9199669.0,9603818098.0,27.05,https://api.nasdaq.com/api/quote/AG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AG/nasdaq_summary.json
AGI,ALAMOS GOLD INC,NYSE,Basic Materials,Precious Metals,39.25,39.25,2208171.0,16101473858.0,60.6,https://api.nasdaq.com/api/quote/AGI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AGI/nasdaq_summary.json
AHR,"American Healthcare REIT, Inc.",NYSE,Real Estate,Real Estate Investment Trusts,50.13,50.13,3805841.0,9672732639.0,58.0,https://api.nasdaq.com/api/quote/AHR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AHR/nasdaq_summary.json
AKR,ACADIA REALTY TRUST,NYSE,Real Estate,Real Estate Investment Trusts,21.82,21.82,1339703.0,2932036416.0,23.0,https://api.nasdaq.com/api/quote/AKR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AKR/nasdaq_summary.json
ALC,ALCON INC,NYSE,Health Care,Ophthalmic Goods,67.93,67.93,2003025.0,33869666000.0,88.0,https://api.nasdaq.com/api/quote/ALC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALC/nasdaq_summary.json
ALK,"ALASKA AIR GROUP, INC.",NYSE,Consumer Discretionary,Air Freight/Delivery Services,41.09,41.09,2120515.0,4606473951.0,55.0,https://api.nasdaq.com/api/quote/ALK/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALK/nasdaq_summary.json
ALLY,Ally Financial Inc.,NYSE,Finance,Major Banks,42.75,42.75,2566572.0,12981251676.0,54.0,https://api.nasdaq.com/api/quote/ALLY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALLY/nasdaq_summary.json
AM,Antero Midstream Corp,NYSE,Utilities,Natural Gas Distribution,21.81,21.81,2765911.0,10530306600.0,23.0,https://api.nasdaq.com/api/quote/AM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AM/nasdaq_summary.json
