symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path
AA,Alcoa Corp,NYSE,Industrials,Aluminum,66.27,66.27,6952379.0,18836459278.0,75.0,https://api.nasdaq.com/api/quote/AA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AA/nasdaq_summary.json
AAL,American Airlines Group Inc.,NASDAQ,Consumer Discretionary,Air Freight/Delivery Services,13.59,13.59,99284855.0,9160184147.0,15.0,https://api.nasdaq.com/api/quote/AAL/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AAL/nasdaq_summary.json
AAP,ADVANCE AUTO PARTS INC,NYSE,Consumer Discretionary,Auto & Home Supply Stores,58.62,58.62,3468940.0,3496077604.0,58.5,https://api.nasdaq.com/api/quote/AAP/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AAP/nasdaq_summary.json
AAUC,Allied Gold Corp,NYSE,N/A,N/A,26.55,26.55,2847868.0,3439588000.0,32.12,https://api.nasdaq.com/api/quote/AAUC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AAUC/nasdaq_summary.json
ACAD,ACADIA PHARMACEUTICALS INC,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,21.32,21.32,1377022.0,3613076857.0,32.0,https://api.nasdaq.com/api/quote/ACAD/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACAD/nasdaq_summary.json
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Health Care,Medical Specialities,23.02,23.02,2551889.0,2131795686.0,30.0,https://api.nasdaq.com/api/quote/ACHC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACHC/nasdaq_summary.json
ACI,"Albertsons Companies, Inc.",NYSE,Consumer Staples,Food Chains,16.27,16.27,6498357.0,8016409789.0,21.5,https://api.nasdaq.com/api/quote/ACI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACI/nasdaq_summary.json
ACM,AECOM,NYSE,Consumer Discretionary,Military/Government/Technical,70.18,70.18,1944453.0,9258791157.0,99.5,https://api.nasdaq.com/api/quote/ACM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACM/nasdaq_summary.json
ACMR,"ACM Research, Inc.",NASDAQ,Technology,Industrial Machinery/Components,71.59,71.59,1832728.0,4857594361.0,70.0,https://api.nasdaq.com/api/quote/ACMR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACMR/nasdaq_summary.json
ADEA,Adeia Inc.,NASDAQ,Technology,Computer Software: Prepackaged Software,26.36,26.36,1179220.0,2962490098.0,37.5,https://api.nasdaq.com/api/quote/ADEA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ADEA/nasdaq_summary.json
ADPT,Adaptive Biotechnologies Corp,NASDAQ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),13.87,13.87,1235047.0,2221416161.0,20.0,https://api.nasdaq.com/api/quote/ADPT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ADPT/nasdaq_summary.json
ADTN,"ADTRAN Holdings, Inc.",NASDAQ,Utilities,Telecommunications Equipment,14.83,14.83,2910537.0,1269240227.0,19.0,https://api.nasdaq.com/api/quote/ADTN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ADTN/nasdaq_summary.json
AEO,AMERICAN EAGLE OUTFITTERS INC,NYSE,Consumer Discretionary,Clothing/Shoe/Accessory Stores,16.55,16.55,3580139.0,2769182729.0,22.0,https://api.nasdaq.com/api/quote/AEO/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AEO/nasdaq_summary.json
AES,AES CORP,NYSE,Utilities,Electric Utilities: Central,14.69,14.69,8783877.0,10469155227.0,15.0,https://api.nasdaq.com/api/quote/AES/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AES/nasdaq_summary.json
AESI,Atlas Energy Solutions Inc.,NYSE,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),19.47,19.47,2077856.0,2381949487.0,20.0,https://api.nasdaq.com/api/quote/AESI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AESI/nasdaq_summary.json
AEVA,"Aeva Technologies, Inc.",NASDAQ,Consumer Discretionary,Auto Parts:O.E.M.,21.49,21.49,3887434.0,1596193588.0,24.0,https://api.nasdaq.com/api/quote/AEVA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AEVA/nasdaq_summary.json
AFRM,"Affirm Holdings, Inc.",NASDAQ,Finance,Finance: Consumer Services,67.18,67.18,5549360.0,21842084409.0,85.0,https://api.nasdaq.com/api/quote/AFRM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AFRM/nasdaq_summary.json
AG,FIRST MAJESTIC SILVER CORP,NYSE,Basic Materials,Precious Metals,19.9,19.9,9199669.0,9603818098.0,27.05,https://api.nasdaq.com/api/quote/AG/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AG/nasdaq_summary.json
AGI,ALAMOS GOLD INC,NYSE,Basic Materials,Precious Metals,39.25,39.25,2208171.0,16101473858.0,60.6,https://api.nasdaq.com/api/quote/AGI/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AGI/nasdaq_summary.json
AGNC,AGNC Investment Corp.,NASDAQ,Real Estate,Real Estate Investment Trusts,10.26,10.26,11691266.0,11720357867.0,11.0,https://api.nasdaq.com/api/quote/AGNC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AGNC/nasdaq_summary.json
AHR,"American Healthcare REIT, Inc.",NYSE,Real Estate,Real Estate Investment Trusts,50.13,50.13,3805841.0,9672732639.0,58.0,https://api.nasdaq.com/api/quote/AHR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AHR/nasdaq_summary.json
AIP,"Arteris, Inc.",NASDAQ,Technology,Semiconductors,35.9,35.9,1173775.0,1675119507.0,38.0,https://api.nasdaq.com/api/quote/AIP/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AIP/nasdaq_summary.json
AKR,ACADIA REALTY TRUST,NYSE,Real Estate,Real Estate Investment Trusts,21.82,21.82,1339703.0,2932036416.0,23.0,https://api.nasdaq.com/api/quote/AKR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AKR/nasdaq_summary.json
ALC,ALCON INC,NYSE,Health Care,Ophthalmic Goods,67.93,67.93,2003025.0,33869666000.0,88.0,https://api.nasdaq.com/api/quote/ALC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALC/nasdaq_summary.json
ALGM,"ALLEGRO MICROSYSTEMS, INC.",NASDAQ,Technology,Semiconductors,44.7,44.7,1944065.0,8514115477.0,54.5,https://api.nasdaq.com/api/quote/ALGM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALGM/nasdaq_summary.json
ALHC,"Alignment Healthcare, Inc.",NASDAQ,Health Care,Medical Specialities,16.37,16.37,2803657.0,3380098006.0,25.0,https://api.nasdaq.com/api/quote/ALHC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALHC/nasdaq_summary.json
ALK,"ALASKA AIR GROUP, INC.",NYSE,Consumer Discretionary,Air Freight/Delivery Services,41.09,41.09,2120515.0,4606473951.0,55.0,https://api.nasdaq.com/api/quote/ALK/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALK/nasdaq_summary.json
ALLY,Ally Financial Inc.,NYSE,Finance,Major Banks,42.75,42.75,2566572.0,12981251676.0,54.0,https://api.nasdaq.com/api/quote/ALLY/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALLY/nasdaq_summary.json
ALM,Almonty Industries Inc.,NASDAQ,Basic Materials,Other Metals and Minerals,18.79,18.79,2871988.0,5294622902.0,23.0,https://api.nasdaq.com/api/quote/ALM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ALM/nasdaq_summary.json
AM,Antero Midstream Corp,NYSE,Utilities,Natural Gas Distribution,21.81,21.81,2765911.0,10530306600.0,23.0,https://api.nasdaq.com/api/quote/AM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AM/nasdaq_summary.json
AMCR,Amcor plc,NYSE,Consumer Discretionary,Miscellaneous manufacturing industries,38.5,38.5,2881424.0,17744827582.0,49.0,https://api.nasdaq.com/api/quote/AMCR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AMCR/nasdaq_summary.json
AMH,American Homes 4 Rent,NYSE,Real Estate,Real Estate Investment Trusts,32.11,32.11,2146447.0,11636419754.0,34.5,https://api.nasdaq.com/api/quote/AMH/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AMH/nasdaq_summary.json
AMKR,"AMKOR TECHNOLOGY, INC.",NASDAQ,Technology,Semiconductors,65.9,65.9,5895258.0,16297618059.0,70.0,https://api.nasdaq.com/api/quote/AMKR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AMKR/nasdaq_summary.json
