symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields,stage1_step4_implied_volatility,stage1_step4_min_implied_volatility,stage1_step4_verdict,stage1_step4_fail_reason
AAL,American Airlines Group Inc.,NASDAQ,Consumer Discretionary,Air Freight/Delivery Services,13.59,13.59,99284855.0,9160184147.0,15.0,https://api.nasdaq.com/api/quote/AAL/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AAL/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AAL/overview,TRUE,0,,55.19,50.93,77.0,56.66,69.07,37.05,,,55.19,75.0,FAIL,implied_volatility_below_75.0
ACAD,ACADIA PHARMACEUTICALS INC,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,21.32,21.32,1377022.0,3613076857.0,32.0,https://api.nasdaq.com/api/quote/ACAD/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACAD/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ACAD/overview,TRUE,0,,37.79,34.46,5.0,5.41,98.54,34.32,,,37.79,75.0,FAIL,implied_volatility_below_75.0
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,Health Care,Medical Specialities,23.02,23.02,2551889.0,2131795686.0,30.0,https://api.nasdaq.com/api/quote/ACHC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACHC/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ACHC/overview,TRUE,0,,58.86,55.23,11.0,14.85,99.24,51.81,,,58.86,75.0,FAIL,implied_volatility_below_75.0
ACMR,"ACM Research, Inc.",NASDAQ,Technology,Industrial Machinery/Components,71.59,71.59,1832728.0,4857594361.0,70.0,https://api.nasdaq.com/api/quote/ACMR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ACMR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ACMR/overview,TRUE,0,,88.41,60.57,89.0,71.68,103.82,49.39,,,88.41,75.0,PASS,
ADEA,Adeia Inc.,NASDAQ,Technology,Computer Software: Prepackaged Software,26.36,26.36,1179220.0,2962490098.0,37.5,https://api.nasdaq.com/api/quote/ADEA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ADEA/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ADEA/overview,TRUE,0,,61.16,78.6,34.0,20.05,170.69,33.7,,,61.16,75.0,FAIL,implied_volatility_below_75.0
ADPT,Adaptive Biotechnologies Corp,NASDAQ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),13.87,13.87,1235047.0,2221416161.0,20.0,https://api.nasdaq.com/api/quote/ADPT/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ADPT/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ADPT/overview,TRUE,0,,110.99,54.44,58.0,26.1,260.99,58.02,,,110.99,75.0,PASS,
ADTN,"ADTRAN Holdings, Inc.",NASDAQ,Utilities,Telecommunications Equipment,14.83,14.83,2910537.0,1269240227.0,19.0,https://api.nasdaq.com/api/quote/ADTN/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ADTN/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ADTN/overview,TRUE,0,,63.1,75.35,60.0,42.25,94.7,39.98,,,63.1,75.0,FAIL,implied_volatility_below_75.0
AEVA,"Aeva Technologies, Inc.",NASDAQ,Consumer Discretionary,Auto Parts:O.E.M.,21.49,21.49,3887434.0,1596193588.0,24.0,https://api.nasdaq.com/api/quote/AEVA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AEVA/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AEVA/overview,TRUE,0,,113.92,119.45,44.0,39.58,143.51,94.54,,,113.92,75.0,PASS,
AFRM,"Affirm Holdings, Inc.",NASDAQ,Finance,Finance: Consumer Services,67.18,67.18,5549360.0,21842084409.0,85.0,https://api.nasdaq.com/api/quote/AFRM/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AFRM/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AFRM/overview,TRUE,0,,62.4,57.85,33.0,31.77,90.23,49.44,,,62.4,75.0,FAIL,implied_volatility_below_75.0
AGNC,AGNC Investment Corp.,NASDAQ,Real Estate,Real Estate Investment Trusts,10.26,10.26,11691266.0,11720357867.0,11.0,https://api.nasdaq.com/api/quote/AGNC/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AGNC/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AGNC/overview,TRUE,0,,21.91,19.19,42.0,18.61,46.32,16.33,,,21.91,75.0,FAIL,implied_volatility_below_75.0
AIP,"Arteris, Inc.",NASDAQ,Technology,Semiconductors,35.9,35.9,1173775.0,1675119507.0,38.0,https://api.nasdaq.com/api/quote/AIP/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AIP/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AIP/overview,TRUE,0,,90.19,63.96,70.0,27.23,167.06,61.43,,,90.19,75.0,PASS,
