symbol,name,master_exchange,sector,industry,price_proxy,previous_close,share_volume,market_cap,one_yr_target,url,json_path,barchart_url,barchart_fetch_ok,barchart_fetch_round,barchart_fetch_error,barchart_implied_volatility,barchart_historical_volatility,barchart_iv_percentile,barchart_iv_rank,barchart_iv_high,barchart_iv_low,barchart_expected_move,barchart_missing_fields,options_liquidity_source,options_liquidity_fetch_ok,options_liquidity_fetch_error,options_volume,open_interest,atm_bid_ask_spread,legacy_stage1_market_cap,legacy_stage1_reasons,options_liquidity_missing_fields,stage1_step4_implied_volatility,stage1_step4_min_implied_volatility,stage1_step4_min_options_volume,stage1_step4_min_open_interest,stage1_step4_min_market_cap,stage1_step4_market_cap_checked,stage1_step4_verdict,stage1_step4_fail_reason
AEVA,"Aeva Technologies, Inc.",NASDAQ,Consumer Discretionary,Auto Parts:O.E.M.,21.49,21.49,3887434.0,1596193588.0,24.0,https://api.nasdaq.com/api/quote/AEVA/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AEVA/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AEVA/overview,TRUE,0,,113.92,119.45,44.0,39.58,143.51,94.54,,,cache,TRUE,,2025,12310,0.8999999999999999,1600000000.0,,,113.92,75.0,1000,1000,1000000000.0,1600000000.0,PASS,
AMKR,"AMKOR TECHNOLOGY, INC.",NASDAQ,Technology,Semiconductors,65.9,65.9,5895258.0,16297618059.0,70.0,https://api.nasdaq.com/api/quote/AMKR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/AMKR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/AMKR/overview,TRUE,0,,78.32,62.48,79.0,58.2,108.35,36.51,,,cache,TRUE,,2804,90375,0.39999999999999947,16300000000.0,,,78.32,75.0,1000,1000,1000000000.0,16300000000.0,PASS,
APLD,Applied Digital Corp.,NASDAQ,Finance,Finance: Consumer Services,48.02,48.02,22215241.0,13108248754.0,46.0,https://api.nasdaq.com/api/quote/APLD/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/APLD/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/APLD/overview,TRUE,0,,99.47,108.68,20.0,31.87,142.73,79.23,,,cache,TRUE,,32267,60387,0.1299999999999999,13110000000.0,,,99.47,75.0,1000,1000,1000000000.0,13110000000.0,PASS,
ASST,"Strive, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,18.53,18.53,7804389.0,1330834711.0,26.0,https://api.nasdaq.com/api/quote/ASST/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/ASST/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/ASST/overview,TRUE,0,,101.64,84.55,3.0,2.1,405.79,95.12,,,cache,TRUE,,11077,7426,0.21999999999999986,1260000000.0,,,101.64,75.0,1000,1000,1000000000.0,1260000000.0,PASS,
BRZE,"Braze, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,23.41,23.41,3074675.0,2964170596.0,32.0,https://api.nasdaq.com/api/quote/BRZE/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BRZE/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/BRZE/overview,TRUE,0,,93.58,71.4,94.0,87.62,101.18,39.8,,,cache,TRUE,,1374,8066,0.25,2720000000.0,,,93.58,75.0,1000,1000,1000000000.0,2720000000.0,PASS,
BTDR,Bitdeer Technologies Group,NASDAQ,Finance,Finance: Consumer Services,14.92,14.92,7944834.0,3564545016.0,20.0,https://api.nasdaq.com/api/quote/BTDR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/BTDR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/BTDR/overview,TRUE,0,,104.8,96.04,45.0,31.85,177.29,70.91,,,cache,TRUE,,8984,24704,0.20000000000000007,3560000000.0,,,104.8,75.0,1000,1000,1000000000.0,3560000000.0,PASS,
CIFR,Cipher Digital Inc.,NASDAQ,Finance,Finance: Consumer Services,21.52,21.52,19436524.0,8986810858.0,28.0,https://api.nasdaq.com/api/quote/CIFR/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CIFR/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CIFR/overview,TRUE,0,,99.04,99.41,16.0,14.78,177.16,85.5,,,cache,TRUE,,54186,52589,0.11999999999999988,8990000000.0,,,99.04,75.0,1000,1000,1000000000.0,8990000000.0,PASS,
CLSK,"CLEANSPARK, INC.",NASDAQ,Finance,Finance: Consumer Services,15.76,15.76,21146824.0,4098039438.0,21.5,https://api.nasdaq.com/api/quote/CLSK/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CLSK/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CLSK/overview,TRUE,0,,87.63,70.0,34.0,31.71,137.89,64.29,,,cache,TRUE,,27460,39207,0.039999999999999925,4099999999.9999995,,,87.63,75.0,1000,1000,1000000000.0,4099999999.9999995,PASS,
CMPS,COMPASS Pathways plc,NASDAQ,Health Care,Biotechnology: Pharmaceutical Preparations,11.59,11.59,3871019.0,1593751469.0,18.0,https://api.nasdaq.com/api/quote/CMPS/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CMPS/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CMPS/overview,TRUE,0,,80.38,126.61,9.0,4.29,287.3,71.12,,,cache,TRUE,,2225,27675,0.4999999999999999,1590000000.0,,,80.38,75.0,1000,1000,1000000000.0,1590000000.0,PASS,
CRML,Critical Metals Corp.,NASDAQ,Basic Materials,Metal Mining,11.14,11.14,10149001.0,1385988853.0,20.0,https://api.nasdaq.com/api/quote/CRML/summary?assetclass=stocks,/home/hermes/market-funnel/nasdaq_summary_archive/20260523T034226Z/symbols/CRML/nasdaq_summary.json,https://www.barchart.com/stocks/quotes/CRML/overview,TRUE,0,,110.97,157.02,5.0,9.35,326.89,88.7,,,cache,TRUE,,4955,11742,0.35,1340000000.0,,,110.97,75.0,1000,1000,1000000000.0,1340000000.0,PASS,
