symbol,original_software_patch_required,patched_software_patch_required,classification,stage3_category,sector,share_count_source,weighted_fair_value,target_benchmark_price,fair_value_target_gap_pct,patched_gap_detail
MARA,TRUE,FALSE,MODEL_FAMILY_MISSING,B,Technology,sec,0.2612154721742008,15.5,-98.31,Stage 3 FV $0.26 is -98.3% below closest benchmark Stage 2 target $15.50; Stage 2 target $15.50; Finviz target $17.78; remediation classification MODEL_FAMILY_MISSING; no automated software patch safe from target gap alone
PCT,TRUE,FALSE,MODEL_FAMILY_MISSING,B,Industrials,sec,0.47775808999398484,12.71,-96.24,Stage 3 FV $0.48 is -96.2% below closest benchmark Finviz target $12.71; Stage 2 target $14.00; Finviz target $12.71; remediation classification MODEL_FAMILY_MISSING; no automated software patch safe from target gap alone
QUBT,TRUE,FALSE,MODEL_FAMILY_MISSING,B,Technology,sec,1.1414920598073741,17.83,-93.6,Stage 3 FV $1.14 is -93.6% below closest benchmark Finviz target $17.83; Stage 2 target $18.00; Finviz target $17.83; remediation classification MODEL_FAMILY_MISSING; no automated software patch safe from target gap alone
USAR,TRUE,FALSE,MODEL_FAMILY_MISSING,B,Basic Materials,sec,8.023332084581625,35.0,-77.08,Stage 3 FV $8.02 is -77.1% below closest benchmark Stage 2 target $35.00; Stage 2 target $35.00; Finviz target $37.43; remediation classification MODEL_FAMILY_MISSING; no automated software patch safe from target gap alone
UUUU,TRUE,FALSE,TARGET_OUTLIER,B,Industrials,sec,0.3205562334851166,27.89,-98.85,Stage 3 FV $0.32 is -98.9% below closest benchmark Finviz target $27.89; Stage 2 target $28.00; Finviz target $27.89; remediation classification TARGET_OUTLIER; no automated software patch safe from target gap alone
APLD,TRUE,FALSE,MODEL_FAMILY_MISSING,B,Finance,sec,18.60362830636176,46.0,-59.56,Stage 3 FV $18.60 is -59.6% below closest benchmark Stage 2 target $46.00; Stage 2 target $46.00; Finviz target $57.82; remediation classification MODEL_FAMILY_MISSING; no automated software patch safe from target gap alone
GLXY,TRUE,FALSE,DATA_PROVIDER_ISSUE,B,Finance,market_cap_implied,-68.40599596301915,42.5,-260.96,Stage 3 FV $-68.41 is -261.0% below closest benchmark Stage 2 target $42.50; Stage 2 target $42.50; Finviz target $41.44; remediation classification DATA_PROVIDER_ISSUE; no automated software patch safe from target gap alone
QBTS,TRUE,FALSE,MODEL_FAMILY_MISSING,B,Technology,sec,0.8836136115155898,36.38,-97.57,Stage 3 FV $0.88 is -97.6% below closest benchmark Finviz target $36.38; Stage 2 target $37.00; Finviz target $36.38; remediation classification MODEL_FAMILY_MISSING; no automated software patch safe from target gap alone
ASST,TRUE,FALSE,DATA_PROVIDER_ISSUE,B,Technology,market_cap_implied,1.364328562300095,26.0,-94.75,Stage 3 FV $1.36 is -94.8% below closest benchmark Stage 2 target $26.00; Stage 2 target $26.00; Finviz target $29.00; remediation classification DATA_PROVIDER_ISSUE; no automated software patch safe from target gap alone
IREN,TRUE,FALSE,DATA_PROVIDER_ISSUE,A,Technology,market_cap_implied,19.47938350670693,78.85,-75.3,Stage 3 FV $19.48 is -75.3% below closest benchmark Finviz target $78.85; Stage 2 target $80.00; Finviz target $78.85; remediation classification DATA_PROVIDER_ISSUE; no automated software patch safe from target gap alone
